"","text","created_at","lang"
"177","Excellent excellent excellent. Such an important message while doing a great job washing your hands! Thanks asia.ville #VilleHandWashChallenge #washthehate https://t.co/dELm4DIet1","2020-03-20T22:33:19.000Z","en"
"178","Could not have been said any better #WashTheHate.  You need to get these words @realDonaldTrump https://t.co/Zl1j7tjVfg","2020-03-20T22:32:37.000Z","en"
"183","Video: ‘Mulan’ star Tzi Ma recalls racist attack, advocates for others to #WashTheHate | GMA Digital
https://t.co/uTXGjbLgyP","2020-03-20T21:42:06.000Z","en"
"184","@ericgeller @darth @alex_abads Oh no!  No anti-pandacism will be tolerated.  #WashTheHate","2020-03-20T21:40:51.000Z","en"
"185","@Scaramucci @realDonaldTrump #WashTheHate   Time to rid of this #TrumpVirus NOW  ""Hate will get you sick, even if the virus doesn't""","2020-03-20T21:38:20.000Z","en"
"186","@ABC @realDonaldTrump @GOP @GOPLeader @GOPChairwoman @SenateGOP @HouseGOP @senatemajldr    ""Hate will get you sick, even if the virus doesn't"" #WashTheHate","2020-03-20T21:36:39.000Z","en"
"187","Hate will get you sick even if the virus doesn’t. #WashTheHate https://t.co/F67t7065BZ","2020-03-20T21:30:36.000Z","en"
"188","“If you are so stupid &amp; racist enough to be holding random individuals of Asian descent responsible for the a pandemic then you should be self-quarantining from society anyway,” &lt;— THIS! #WashTheHate https://t.co/hjJ9zPy2t9","2020-03-20T21:14:47.000Z","en"
"189","#WashTheHate pass it along. https://t.co/nB6QiKVR2G","2020-03-20T21:11:37.000Z","en"
"190","Asian Americans join #WashTheHate campaign to raise awareness of discrimination amid coronavirus fears | GMA https://t.co/PIap9bf78t","2020-03-20T21:09:18.000Z","en"
"193","Comedy does not excuse racism. #WashTheHate #RacismIsAVirus #racism https://t.co/P2dfPCRiQN","2020-03-20T20:59:57.000Z","en"
"194","Kollab is proud to support the #WashTheHate campaign. Uncertainty and fear around the coronavirus pandemic are breeding acts of discrimination and violence against individuals of Asian descent. Let’s #WashTheHate together. Share your story and learn more @ https://t.co/KIiI2x8zz8 https://t.co/elgljgUzhY","2020-03-20T20:49:28.000Z","en"
"195","This kind of stupidity is getting ridiculous. #WashTheHate https://t.co/t37xGbTLIA","2020-03-20T20:46:43.000Z","en"
"199","#WashTheHate The 1918 Spanish Flu originated from Kansas.  Will trump call it American Flu?  He picks on Blacks, Mexicans, and Chinese.  Who will be next?  We’ll be sure he and his senator friends will not get a vote from any of us!","2020-03-20T20:21:58.000Z","en"
"200","Let's fight against xenophobia together! 🙏❣️ #WashTheHate @WashTheHate https://t.co/OP35pbJpIb","2020-03-20T20:20:35.000Z","en"
"201","huge thanks to @tzima8 @ItsCeliaAu @IWGroup for speaking with me.. sharing your stories and your fight against xenophobia towards Asian Americans during this scary time  #WashTheHate @WashTheHate  #CoronaCrisis #coronavirus
https://t.co/Jo0ZJ268WU","2020-03-20T20:14:45.000Z","en"
"202","Thank you to @ajRAFAEL for speaking up against anti-Asian #xenophobia! 

To stay safe, let's remember to wash our hands and also #WashTheHate.

https://t.co/x2V2dUD4IW","2020-03-20T20:00:28.000Z","en"
"203","Wow, thank you @GavinNewsom for taking a stand! #WashTheHate #COVID19 https://t.co/7TfRCB3U24","2020-03-20T19:40:08.000Z","en"
"205","Thank you Governor Newsom!!! 💛 #WashTheHate 

#Newsom2024 heheh https://t.co/CyQWzqUmT7","2020-03-20T18:58:57.000Z","en"
"206","I have nothing but respect for all Asian Americans. The corona virus is NOT their fault!!!!! 
#WashTheHate #WashYourHands #coronavirus https://t.co/MlaBOpJS7O","2020-03-20T18:11:48.000Z","en"
"207","Avoid coronavirus racism and scapegoating by @AndrewYang @JGreenblattADL https://t.co/4JwBHFyzv0 via @usatoday #washthehate #coronacrisis","2020-03-20T18:09:24.000Z","en"
"208","The rise in xenophobia and discrimination towards the #aapi population due to #COVID19 are disturbing. Please report hate crimes at https://t.co/JkXrilMSFr or reach out to us directly to share your story. Remember #SocialDistancing and hand washing to stay safe!
#WashTheHate https://t.co/ESvrzmE0Ja","2020-03-20T17:53:11.000Z","en"
"209","Blaming Asians for a virus is like blaming NOLA for Hurricane Katrina. You can’t control a hurricane much like you can’t control a virus. We can only mitigate the damage, but placing blame to a population for something natural is asinine. We are all in this together #WashTheHate","2020-03-20T17:46:33.000Z","en"
"212","Gonna get real confusing when there's the Italian virus, Korean virus, New York virus... 🤔

Maybe just stick to the clinical COVID-19?

#WashTheHate https://t.co/0cvWHzyxGd","2020-03-20T16:54:34.000Z","en"
